Member_number,Date,productId,items,order_id,productName,price,Category,Total_Cost,Month
1808,2015-07-21,1,3,2988,tropical fruit,7.8,Fresh Food,23.4,2015-07
2552,2015-01-05,2,1,5784,whole milk,1.8,Dairy,1.8,2015-01
2300,2015-09-19,3,3,4852,pip fruit,3.0,Fresh Food,9.0,2015-09
1187,2015-12-12,4,3,688,other vegetables,0.8,Fresh Food,2.4000000000000004,2015-12
3037,2015-02-01,2,1,7585,whole milk,1.8,Dairy,1.8,2015-02
4941,2015-02-14,5,1,14770,rolls/buns,1.2,Bakery & Sweets,1.2,2015-02
4501,2015-05-08,4,3,13088,other vegetables,0.8,Fresh Food,2.4000000000000004,2015-05
3803,2015-12-23,6,2,10457,pot plants,3.5,Household & Hygiene,7.0,2015-12
2762,2015-03-20,2,3,6579,whole milk,1.8,Dairy,5.4,2015-03
4119,2015-02-12,1,3,11596,tropical fruit,7.8,Fresh Food,23.4,2015-02
1340,2015-02-24,7,3,1237,citrus fruit,1.5,Fresh Food,4.5,2015-02
2193,2015-04-14,8,3,4449,beef,19.5,Fresh Food,58.5,2015-04
1997,2015-07-21,9,1,3707,frankfurter,5.5,Fresh Food,5.5,2015-07
4546,2015-09-03,10,3,13264,chicken,7.2,Fresh Food,21.6,2015-09
4736,2015-07-21,11,2,14007,butter,3.2,Dairy,6.4,2015-07
1959,2015-03-30,12,1,3580,fruit/vegetable juice,2.1,Beverages,2.1,2015-03
1974,2015-05-03,13,2,3633,packaged fruit/vegetables,3.5,Fresh Food,7.0,2015-05
2421,2015-09-02,14,2,5284,chocolate,11.5,Bakery & Sweets,23.0,2015-09
1513,2015-08-03,15,2,1889,specialty bar,5.2,Bakery & Sweets,10.4,2015-08
1905,2015-07-07,4,2,3370,other vegetables,0.8,Fresh Food,1.6,2015-07
2810,2015-09-08,16,1,6768,butter milk,6.1,Dairy,6.1,2015-09
2867,2015-11-12,2,1,6969,whole milk,1.8,Dairy,1.8,2015-11
3962,2015-09-18,1,2,11050,tropical fruit,7.8,Fresh Food,15.6,2015-09
1088,2015-11-30,1,2,319,tropical fruit,7.8,Fresh Food,15.6,2015-11
4976,2015-07-17,17,1,14893,bottled water,0.5,Beverages,0.5,2015-07
4056,2015-06-12,18,1,11356,yogurt,2.2,Dairy,2.2,2015-06
3611,2015-02-13,19,1,9732,sausage,3.1,Fresh Food,3.1,2015-02
1420,2015-01-14,4,3,1525,other vegetables,0.8,Fresh Food,2.4000000000000004,2015-01
4286,2015-03-08,20,3,12263,brown bread,0.8,Bakery & Sweets,2.4000000000000004,2015-03
4918,2015-01-27,18,3,14678,yogurt,2.2,Dairy,6.6000000000000005,2015-01
4783,2015-10-22,21,2,14188,hamburger meat,12.3,Fresh Food,24.6,2015-10
3709,2015-10-26,22,3,10091,root vegetables,1.8,Fresh Food,5.4,2015-10
4289,2015-10-08,23,2,12275,pork,7.2,Fresh Food,14.4,2015-10
1559,2015-10-03,8,2,2033,beef,19.5,Fresh Food,39.0,2015-10
2900,2015-04-11,24,3,7078,pastry,3.1,Bakery & Sweets,9.3,2015-04
1905,2015-02-21,12,2,3368,fruit/vegetable juice,2.1,Beverages,4.2,2015-02
3527,2015-09-29,25,3,9399,canned beer,1.1,Beverages,3.3000000000000003,2015-09
1495,2015-01-09,22,3,1821,root vegetables,1.8,Fresh Food,5.4,2015-01
3558,2015-04-03,7,1,9517,citrus fruit,1.5,Fresh Food,1.5,2015-04
3128,2015-04-20,19,3,7935,sausage,3.1,Fresh Food,9.3,2015-04
1863,2015-08-04,1,1,3195,tropical fruit,7.8,Fresh Food,7.8,2015-08
3841,2015-07-19,26,3,10595,berries,10.8,Fresh Food,32.400000000000006,2015-07
3903,2015-10-06,25,3,10823,canned beer,1.1,Beverages,3.3000000000000003,2015-10
2658,2015-10-16,16,1,6176,butter milk,6.1,Dairy,6.1,2015-10
4272,2015-06-06,27,1,12214,coffee,8.5,Beverages,8.5,2015-06
1120,2015-09-26,24,3,442,pastry,3.1,Bakery & Sweets,9.3,2015-09
2676,2015-08-15,5,2,6243,rolls/buns,1.2,Bakery & Sweets,2.4,2015-08
1697,2015-05-21,28,1,2552,misc. beverages,1.2,Beverages,1.2,2015-05
2507,2015-08-25,22,2,5595,root vegetables,1.8,Fresh Food,3.6,2015-08
4620,2015-03-11,19,2,13532,sausage,3.1,Fresh Food,6.2,2015-03
3365,2015-02-01,25,2,8805,canned beer,1.1,Beverages,2.2,2015-02
2978,2015-06-05,29,1,7371,ham,15.2,Fresh Food,15.2,2015-06
2910,2015-07-28,30,2,7118,turkey,12.5,Fresh Food,25.0,2015-07
1061,2015-09-05,2,1,226,whole milk,1.8,Dairy,1.8,2015-09
3276,2015-04-03,2,2,8474,whole milk,1.8,Dairy,3.6,2015-04
1326,2015-06-19,13,3,1179,packaged fruit/vegetables,3.5,Fresh Food,10.5,2015-06
3023,2015-07-28,5,3,7532,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,2015-07
2185,2015-10-11,29,1,4419,ham,15.2,Fresh Food,15.2,2015-10
3552,2015-06-16,5,3,9498,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,2015-06
1967,2015-01-20,4,3,3610,other vegetables,0.8,Fresh Food,2.4000000000000004,2015-01
4708,2015-03-20,19,2,13899,sausage,3.1,Fresh Food,6.2,2015-03
2874,2015-02-15,19,1,7003,sausage,3.1,Fresh Food,3.1,2015-02
4177,2015-04-13,9,2,11825,frankfurter,5.5,Fresh Food,11.0,2015-04
1663,2015-02-07,5,2,2447,rolls/buns,1.2,Bakery & Sweets,2.4,2015-02
2632,2015-03-02,2,2,6086,whole milk,1.8,Dairy,3.6,2015-03
1377,2015-03-14,31,2,1367,curd cheese,9.2,Dairy,18.4,2015-03
4162,2015-12-22,32,2,11771,red/blush wine,12.2,Beverages,24.4,2015-12
2270,2015-07-01,19,2,4729,sausage,3.1,Fresh Food,6.2,2015-07
4829,2015-11-03,1,2,14368,tropical fruit,7.8,Fresh Food,15.6,2015-11
3811,2015-04-14,32,1,10484,red/blush wine,12.2,Beverages,12.2,2015-04
4766,2015-09-29,2,3,14124,whole milk,1.8,Dairy,5.4,2015-09
2436,2015-04-12,9,2,5346,frankfurter,5.5,Fresh Food,11.0,2015-04
3860,2015-05-05,2,2,10670,whole milk,1.8,Dairy,3.6,2015-05
4875,2015-05-12,33,2,14543,frozen potato products,3.0,Frozen & Processed Food,6.0,2015-05
1587,2015-07-01,4,2,2144,other vegetables,0.8,Fresh Food,1.6,2015-07
4038,2015-07-08,7,2,11302,citrus fruit,1.5,Fresh Food,3.0,2015-07
4750,2015-09-21,34,2,14069,flour,2.1,Pantry Staples,4.2,2015-09
1199,2015-12-10,35,3,729,sugar,1.2,Bakery & Sweets,3.5999999999999996,2015-12
1603,2015-09-30,36,3,2201,frozen meals,9.7,Frozen & Processed Food,29.099999999999998,2015-09
3111,2015-01-31,14,2,7867,chocolate,11.5,Bakery & Sweets,23.0,2015-01
3894,2015-12-13,22,3,10786,root vegetables,1.8,Fresh Food,5.4,2015-12
1456,2015-09-18,22,1,1659,root vegetables,1.8,Fresh Food,1.8,2015-09
2022,2015-03-04,37,2,3810,herbs,6.5,Fresh Food,13.0,2015-03
2505,2015-11-30,17,1,5588,bottled water,0.5,Beverages,0.5,2015-11
4851,2015-12-20,19,1,14449,sausage,3.1,Fresh Food,3.1,2015-12
4293,2015-08-04,27,2,12296,coffee,8.5,Beverages,17.0,2015-08
2775,2015-11-06,23,3,6627,pork,7.2,Fresh Food,21.6,2015-11
3693,2015-02-18,26,1,10038,berries,10.8,Fresh Food,10.8,2015-02
1202,2015-07-22,38,2,738,soda,0.8,Beverages,1.6,2015-07
3699,2015-08-23,26,1,10061,berries,10.8,Fresh Food,10.8,2015-08
4152,2015-04-15,12,1,11729,fruit/vegetable juice,2.1,Beverages,2.1,2015-04
4155,2015-01-26,7,1,11747,citrus fruit,1.5,Fresh Food,1.5,2015-01
4010,2015-12-29,23,1,11205,pork,7.2,Fresh Food,7.2,2015-12
4389,2015-10-20,39,3,12683,detergent,5.5,Household & Hygiene,16.5,2015-10
3746,2015-08-17,40,1,10231,grapes,9.4,Fresh Food,9.4,2015-08
2560,2015-05-17,19,1,5811,sausage,3.1,Fresh Food,3.1,2015-05
1503,2015-07-25,10,1,1849,chicken,7.2,Fresh Food,7.2,2015-07
2555,2015-12-23,2,3,5797,whole milk,1.8,Dairy,5.4,2015-12
3645,2015-12-12,7,1,9848,citrus fruit,1.5,Fresh Food,1.5,2015-12
3886,2015-09-11,38,1,10760,soda,0.8,Beverages,0.8,2015-09
2932,2015-03-20,19,3,7197,sausage,3.1,Fresh Food,9.3,2015-03
1711,2015-06-18,9,3,2598,frankfurter,5.5,Fresh Food,16.5,2015-06
4291,2015-12-08,19,3,12283,sausage,3.1,Fresh Food,9.3,2015-12
1143,2015-04-25,38,1,524,soda,0.8,Beverages,0.8,2015-04
4564,2015-07-08,5,3,13328,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,2015-07
3337,2015-05-14,8,3,8699,beef,19.5,Fresh Food,58.5,2015-05
4931,2015-05-04,2,1,14716,whole milk,1.8,Dairy,1.8,2015-05
2623,2015-10-10,41,3,6052,processed cheese,6.4,Dairy,19.200000000000003,2015-10
4581,2015-04-03,1,1,13392,tropical fruit,7.8,Fresh Food,7.8,2015-04
2635,2015-06-11,9,2,6098,frankfurter,5.5,Fresh Food,11.0,2015-06
1095,2015-10-30,13,3,340,packaged fruit/vegetables,3.5,Fresh Food,10.5,2015-10
2990,2015-05-23,2,2,7414,whole milk,1.8,Dairy,3.6,2015-05
2426,2015-06-05,26,1,5301,berries,10.8,Fresh Food,10.8,2015-06
4555,2015-11-07,7,3,13295,citrus fruit,1.5,Fresh Food,4.5,2015-11
3635,2015-09-04,1,1,9814,tropical fruit,7.8,Fresh Food,7.8,2015-09
3058,2015-05-18,21,2,7668,hamburger meat,12.3,Fresh Food,24.6,2015-05
4391,2015-03-26,21,1,12692,hamburger meat,12.3,Fresh Food,12.3,2015-03
1306,2015-06-23,2,3,1114,whole milk,1.8,Dairy,5.4,2015-06
